userWallet,total_borrowed_usd,total_repaid_usd,net_debt_usd
0x0000000002032370b971dabd36d72f3e5a7bf1ee,0.0,0.0,0.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,0.0,0.0,0.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,0.0,0.0,0.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,0.0,0.0,0.0
0x00000029ff545c86524ade7caf132527707948c4,0.0,0.0,0.0
0x00000087c4cebffb95746d1935de7fbcab092f40,0.0,0.0,0.0
0x000000e28faa823d5b53ff6c2922c28335840375,0.0,0.0,0.0
0x000006eee6e39015cb523aebdd4d0b1855aba682,0.0,0.0,0.0
0x00002b503a75998c97508916a74fdb41934fa030,0.0,0.0,0.0
0x0000ce08fa224696a819877070bf378e8b131acf,0.0,0.0,0.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,0.0,0.0,0.0
0x0003816b25fd3d6c112eb65c089760fa3f791947,0.0,0.0,0.0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,0.0,0.0,0.0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,0.0,0.0,0.0
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,0.0,0.0,0.0
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,0.0,0.0,0.0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,0.0,0.0,0.0
0x0005696d4be2359526c497fe4a4c0620b41f2426,0.0,0.0,0.0
0x000a27ba176083e4b50177378cbe7469a00dd557,0.0,0.0,0.0
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,0.0,0.0,0.0
0x000ab43e658935ba39504a1424b01756c1e9644c,0.0,0.0,0.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,0.0,0.0,0.0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,0.0,0.0,0.0
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,0.0,0.0,0.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,0.0,0.0,0.0
0x000e840a3122ec28d0c29321db172375cb049762,0.0,0.0,0.0
0x000e9bd1d42999446d60ff60f1fb3afb13604202,0.0,0.0,0.0
0x000f4432a40560bbff1b581a8b7aded8dab80026,0.0,0.0,0.0
0x000f7f22bfc28d940d4b68e13213ab17cf107790,0.0,0.0,0.0
0x000f908720f9ce164d90f4fc89459fab4442907f,0.0,0.0,0.0
0x000fbfec300959d0f2f327728a889c1f5de8e2df,0.0,0.0,0.0
0x0011730224657eb527cf736039854c3a3f140e63,0.0,0.0,0.0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,0.0,0.0,0.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,0.0,0.0,0.0
0x0014dfac19477a83d7354e6eaac28642c1959398,0.0,0.0,0.0
0x001589fe1923c2118f34e4277f2ef650fcbf0161,0.0,0.0,0.0
0x00159370cbe576b765a7fb2e78582e0cb563d445,0.0,0.0,0.0
0x0016469a65facda9e86fd0ae0e9661128843c224,0.0,0.0,0.0
0x00183135585d70a523d61b2e43037a7138b36906,0.0,0.0,0.0
0x00184e8aa1e95f491f2d9601e12b540092160ded,0.0,0.0,0.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,0.0,0.0,0.0
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,0.0,0.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,0.0,0.0,0.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,0.0,0.0,0.0
0x001bc97d92e1a30b02d4e75be25f06063555d556,0.0,0.0,0.0
0x00246f7813397868b1beec56e1677efa47816dae,0.0,0.0,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,0.0,0.0,0.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,0.0,0.0,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,0.0,0.0,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,0.0,0.0,0.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,0.0,0.0,0.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,0.0,0.0,0.0
0x002d2715b179d0db3e17cc28317a98f2f65e6884,0.0,0.0,0.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,0.0,0.0,0.0
0x002de04d579930686698abab5f48bda0b24fb9fc,0.0,0.0,0.0
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,0.0,0.0,0.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,0.0,0.0,0.0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,0.0,0.0,0.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,0.0,0.0,0.0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,0.0,0.0,0.0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,0.0,0.0,0.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,0.0,0.0,0.0
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,0.0,0.0,0.0
0x0036534c48a754163f0f446601f36bcfda840f57,0.0,0.0,0.0
0x00368bb9dba2ee83f3553feae59710b9c3743e09,0.0,0.0,0.0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,0.0,0.0,0.0
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,0.0,0.0,0.0
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,0.0,0.0,0.0
0x00389de87cae34a6f89e13cc8225c4984add8b37,0.0,0.0,0.0
0x0039e71541bdc798d062346bce94230bf519bb72,0.0,0.0,0.0
0x003a85c562730b196f7cba202a2515f2ff855736,0.0,0.0,0.0
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,0.0,0.0,0.0
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,0.0,0.0,0.0
0x003be39433bde975b12411fbc3025d49d813a84f,0.0,0.0,0.0
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0.0,0.0,0.0
0x003e9a119439ef34de3237034cee95675b01d5d4,0.0,0.0,0.0
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,0.0,0.0,0.0
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,0.0,0.0,0.0
0x00405f7b768a9a6b81e8060a17f0550501acf6be,0.0,0.0,0.0
0x0041dac13d9365b4d695fb612950dc71884f8db1,0.0,0.0,0.0
0x004403abb2246c48ac770e30e7b36e3b16e152a1,0.0,0.0,0.0
0x0044803a27c6c45babd3fb7affb80b3f913579d7,0.0,0.0,0.0
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,0.0,0.0,0.0
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,0.0,0.0,0.0
0x0048e6fd005224e7e9f00058c630307f0710a84b,0.0,0.0,0.0
0x0049436d8c3da52d604cdc390e45026b2662d7f7,0.0,0.0,0.0
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,0.0,0.0,0.0
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,0.0,0.0,0.0
0x004afb002e3fb33c833fc16b6b63103bbf97312d,0.0,0.0,0.0
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,0.0,0.0,0.0
0x004ce54398cc569a622bf5a99ae857306243c8ec,0.0,0.0,0.0
0x004d71c111862702272e6beccdaafb07c9b96c37,0.0,0.0,0.0
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,0.0,0.0,0.0
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,0.0,0.0,0.0
0x0051ed91501bdefede70975ec9459a0dd3c5657b,0.0,0.0,0.0
0x00526e91ec022d8596bda04092071c1da6b5322e,0.0,0.0,0.0
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,0.0,0.0,0.0
0x0053b5daa6d4c2e3d16f2b9c10dc04e92b14a818,0.0,0.0,0.0
0x00548bf85d26850ad7ad55ca90ba02572349f648,0.0,0.0,0.0
0x00561a0d394a2cad87c811615f72b61cb0ed3faa,0.0,0.0,0.0
0x005661a7a441451fafdccd579905a7dbc79fd538,0.0,0.0,0.0
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,0.0,0.0,0.0
0x005711ac01b67981d6b627c09470cce29dbd3353,0.0,0.0,0.0
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,0.0,0.0,0.0
0x0057dbd2cb881113aa7b55e4ce62af8234519e01,0.0,0.0,0.0
