wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x00000000001accfa9cef68cf5371a23025b6d4b6,1987.6636548592714,0.0,0.0,0,1,1,300.0000000000131
0x000000000051d07a4fb3bd10121a343d85818da6,285.69448036149265,0.0,0.0,0,1,1,300.0000000000019
0x000000000096026fb41fc39f9875d164bd82e2dc,0.005152310624158186,0.0,0.0,0,2,1,300.00000000000006
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,0.0,0.0,0,17,4,300.0000000000001
0x0000000002032370b971dabd36d72f3e5a7bf1ee,4.149390209961049e+16,130355.75475607086,70150.26379074076,0,399,6,571.8297352267518
0x000000000a38444e0a6e37d3b630d7e855a7cb13,18390.665686010518,11631.431210321323,11640.280239622172,0,25,5,300.00000000010544
0x000000003853fcedcd0355fec98ca3192833f00b,5340395820.161124,0.0,0.0,0,8,7,300.00003498534284
0x000000003ce0cf2c037493b1dc087204bd7f713e,1.8965736012541066e+17,339812467229004.8,339812873059672.75,0,492,7,850.0
0x000000007858e6f2668e1e06111cfa24403a5466,0.14216066648145406,0.0,0.0,0,1,1,300.00000000000006
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.7666525037857388,0.0,0.0,0,1,1,300.00000000000006
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,7.999916941682948e+17,5.975019617796154e+17,5.975686798284461e+17,0,69,1,850.0
0x00000029ff545c86524ade7caf132527707948c4,2.702869616701185e+18,1.207721708045132e+18,1.2044996617661256e+18,0,47,4,850.0
0x00000087c4cebffb95746d1935de7fbcab092f40,2.21654167696914e+16,2.316420103419422e+16,1199151322612232.5,0,250,8,300.0
0x000000e28faa823d5b53ff6c2922c28335840375,1.6635000063944156e+18,1.774170714025907e+18,1.7754729507826916e+18,0,297,7,850.0
0x000006eee6e39015cb523aebdd4d0b1855aba682,3.755838474970998e+16,2.300705925998673e+16,2.3151274780815508e+16,0,28,6,517.0373775711322
0x00000a9c78912badb92d73b6ed26456e11def5eb,1.6927543127773312,0.0,0.0,0,1,1,300.00000000000006
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,0.0,0.0,0,4,2,300.00000000000006
0x00002b503a75998c97508916a74fdb41934fa030,2385945.7028345726,4.283514674435974e+17,4.2714778564618426e+17,0,147,7,300.0
0x0000897253cc85f7547317eb2080b36b3255687a,466.1857620663897,0.0,0.0,0,2,1,300.00000000000307
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1.116218296466259,0.0,0.0,0,1,1,300.00000000000006
0x0000ce08fa224696a819877070bf378e8b131acf,1943.2214782403355,1257.9326580280358,0.0,0,14,4,300.0000000000013
0x00010a708585ba4812a1c5976182626c75cb7a6b,20085222759654.047,302687401622063.75,302362674359930.25,0,29,6,300.0
0x00016fc0c9f7620e920e1423fd455f9574f48025,3.1457592760046476,0.0,0.0,0,2,1,300.00000000000006
0x0002761e848b24046a53d494847b11a3e1d36b09,1002262174437.4796,0.0,0.0,0,1,1,300.00656589637805
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,1.0112506095471125,0.0,0.0,0,2,1,300.00000000000006
0x0003816b25fd3d6c112eb65c089760fa3f791947,7122.699059900505,2946.5930000000017,2946.9505000000063,0,4,2,300.00000000004286
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,2273.719487187366,917.4028183810866,0.0,0,37,6,300.0000000000067
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1049.4935366497111,0.0,0.0,0,2,1,300.0000000000069
